CNT,ct_score,academic,math_score,read_score,scie_score,ESCS,CREATSCH,CREATEFF,CREATACT,CREATOR,CREATOPN,TEACHSUP,BELONG,DISCLIM,n_students,quadrant
ALB,13.088426331771396,367.54140970566607,368.2217199510451,358.4347582397858,375.9677509261673,-0.7514551558746204,0.7697073701015282,0.3885464705869373,,,,0.40845855777459905,0.2532919550724197,0.09498115674104206,6129.0,Low Both
ARE,28.430053180624597,426.8132324409705,431.110476583555,417.34974980606995,431.9794709332868,0.29665638040482034,0.40478028321662013,0.2184594850995253,,,,0.23448489140023246,-0.19998895467237973,0.16359635301531192,24600.0,Low Both
AUS,37.30809470925176,497.37868754576937,487.0842535121307,498.0509397766056,507.0008693485719,0.379366600098662,0.1519688080903976,0.024974636822750418,,,,0.13025618659892915,-0.2267015660303458,-0.24320637997847197,13437.0,Both
BEL,34.91398270341649,486.3059436941251,489.4868167449449,478.8526682782358,490.5783460591944,0.08287633453443578,-0.18580844570794794,-0.02009421601066576,-0.3767478903947483,-0.28702269230459876,-0.15743444467094977,-0.21179244450373547,0.021855227186313206,-0.11640196775163676,8286.0,Both
BGR,20.71562549039701,414.20028652355535,417.3039003748683,404.30373969630284,420.9932194994946,-0.27220649375191536,-0.005224289266595828,0.035994123242145154,,,,-0.010066286132576912,-0.19042332657487956,-0.32454724995660267,6107.0,Low Both
BRA,23.31700049737574,397.34985334214656,378.6913669469825,410.35697944299073,403.0012136364664,-0.9914729633663945,0.1256964481821655,-0.14782963532553264,0.41137578649339007,0.04427617829760109,-0.009717473876351329,0.27693968162623533,-0.20849259900791547,-0.3444881058698357,10798.0,Low Both
BRN,23.73918079236863,439.0600441742684,442.0931044709813,429.2319117096337,445.85511634219,-0.2572575116907797,0.2281110592998861,-0.33895815126169104,,,,0.27897746357643,-0.5012569448728339,0.3190109179096872,5576.0,Calculators
CAN,37.928555059559194,506.36582208553716,496.9478944357038,507.13289582267686,515.0166759982307,0.3811020834349589,0.22859249109609167,0.14916868035334357,,,,,-0.16173455396952116,-0.08099814167955284,23073.0,Both
CHL,30.66530071085911,434.40631017001687,411.6965707080961,447.97895739670247,443.5434024052521,-0.5086492927143373,0.3455293428935815,-0.005299518959271559,,,,0.3968620525048067,-0.22015998904481343,-0.321239549298243,6488.0,Creators
COL,25.552625707258688,400.8275115735134,382.6968351295673,408.6650263433265,411.1206732476463,-1.0651248666066762,0.4140362237759727,0.37741744970289287,0.33566497078609164,0.4409676412911715,0.40333859316798293,0.515044195549828,-0.15690718899033107,-0.005041378726209698,7804.0,Low Both
CRI,27.47628567428891,403.59858170527605,384.5760411243573,415.23308032564455,410.98662366582624,,0.4815894493867783,0.21173726167324142,0.05993816200929961,0.3215754873032203,0.32561320344176875,0.5644142051613776,-0.09415390327699796,-0.06903951621931831,6113.0,Low Both
CZE,32.64069968380789,491.114974425253,486.99920785192444,488.6036684603712,497.74204696346357,-0.10408606887443415,-0.24070413313086694,-0.1919691474191471,,,,-0.496323040564044,-0.2798947879511478,-0.03214925711340074,8460.0,Both
DEU,32.52509000200871,482.349069389536,474.82645390785706,479.7940247545736,492.4267295061774,-0.1369900180181201,-0.2408574813255941,0.05917432420837946,-0.1118233902599773,-0.1336129188120704,-0.04065918129104819,-0.15215231283558694,0.2698725896476903,-0.018519870429569985,6116.0,Both
DNK,35.488671666619666,490.63019311347915,489.273876942411,488.80099070123543,493.815711696791,0.47607773941944276,0.01827723373276094,-0.02467719535482706,,,,0.003088661488634349,0.1091869580895332,0.029808625867480183,6200.0,Both
DOM,15.488952781992287,350.2818643878858,339.1072467325859,351.3122866900286,360.42605974104293,-0.7096963763568349,0.4522246529492911,0.21358064550949457,0.8988649294314146,0.4154309985586673,0.4430844995452152,0.6560049860632201,-0.2302724295286979,-0.03518072833535884,6868.0,Low Both
ESP,32.750799841631405,477.32698962619924,473.1402080246069,474.30711242382256,484.53364843016817,-0.033199497264932515,-0.1513046577211849,0.09896607477046417,,,,0.061526514163097054,0.2725345608613883,-0.07725753960391159,30800.0,Both
EST,35.85255282692888,515.5963544543516,509.94695322476144,511.0303316439279,525.8117784943654,0.1507251881096396,-0.030842977146891798,-0.23540447742805917,,,,-0.19360038673183627,-0.13748266507281537,0.14257300498016315,6392.0,Both
FIN,35.816327282314774,495.10525366013184,484.1392256377669,490.21768481353615,510.95885052909244,0.2584828367937594,0.059563690496210416,-0.05295111464407053,,,,-0.0021322503001992275,0.10115776003236156,-0.21543623504968087,10239.0,Both
FRA,32.42564919102114,478.34061838764575,473.9444184205984,473.85215803119905,487.2252787111397,0.00018539079304115026,-0.23780875358508416,0.26843802046796866,,,,-0.26265549211301137,-0.026856756877333545,-0.23106691750216293,6770.0,Both
GRC,26.997255319298997,436.4576691840634,430.14632185328054,438.4406252253503,440.7860604735595,-0.154869593520961,-0.3004070756858183,0.04172622743155579,,,,-0.3971898239426399,-0.05972651711016467,-0.27377404331730293,6403.0,Low Both
HKG,31.565256006986843,520.157273881256,540.3518012286893,499.7013409153018,520.4186794997768,-0.46185793719116375,0.1713050143492353,-0.3083719382834795,0.6652268489109114,-0.35885259687307713,-0.5249754212180856,0.11828406730951654,-0.38775376727287647,0.3308838277239779,5907.0,Both
HRV,30.456095317932586,473.7571950067726,463.10518936749145,475.4989464423297,482.6674492104965,-0.15196359991172306,0.1256548032404472,0.2669798359953756,-0.1766084596966412,0.025523607361207467,-0.05821154901691027,-0.2078633003576732,0.13308232398251787,0.1420041740471298,6135.0,Both
HUN,30.94421958283243,477.2136689364378,472.77612237193983,472.9747259373596,485.89015850001374,0.0029782271706394908,-0.05290976851724869,-0.01718841453962178,,,,-0.22273787936895148,0.1385881221812933,0.04907393348246185,6198.0,Both
IDN,18.95603639931038,368.98617538018414,365.5252538715769,358.5698594568464,382.86341281212907,-1.5558470233963568,0.40754493845341094,-0.09838276322522378,,,,0.07997574694503293,-0.13467309002320452,0.03969242278084496,13439.0,Low Both
ISL,30.455652227884986,447.26804104276766,458.91401434518576,435.922994554554,446.9671142285631,0.3781051237992792,0.1996334109836653,0.1073561110679082,,,,0.17543633494751645,0.16405403611021052,-0.11022364164555212,3360.0,Both
ISR,32.27665324342384,465.49372999006937,457.8966665933153,473.8326982093544,464.7518251675384,0.27995699607366575,-0.12043393140243827,,,,,0.0896136600349841,,0.05082544411921906,6251.0,Both
ITA,31.395584197097747,476.7737064144743,471.2594754762866,481.5982778298936,477.4633659372427,-0.10021047625315674,-0.16810567187079783,0.046424956695877255,-0.2283948335334482,-0.06516852075550808,0.1546554823305478,-0.1605322798424967,-0.06472088589937232,-0.09464159042731919,10552.0,Both
JAM,25.542532937220034,396.6612291355306,377.41693921863475,409.6327866240783,402.9339615638787,-0.5503355620693652,0.3210709340886848,0.003078643981293262,,,,0.3268026163127056,-0.3391935967448343,-0.13533088197919635,3873.0,Low Both
JOR,20.213111242297256,359.3069811196854,361.22802836657854,342.1658280535568,374.5270869389209,-0.8164571700685551,0.1342148484399534,0.045340586874788646,,,,0.2251978517556049,-0.21153230015706045,-0.18916162498337616,7799.0,Low Both
KAZ,23.842452299891104,411.62997419956116,425.4391288356629,386.2847481049627,423.1660456580577,-0.3723667452209884,0.4422125997664489,0.19341268426786418,,,,0.46377963458072363,-0.14292888738838058,0.3469523091570386,19769.0,Low Both
KOR,38.08853108190473,523.5134373840897,527.3025017804584,515.4153921009976,527.8224182708128,0.22438568549861265,0.15619680065766214,-0.13094510775598261,0.36047829595793185,-0.5136741594623339,-0.6782939926802294,0.0658134277535535,0.26251164126913207,0.839813229831453,6454.0,Both
LTU,32.855571277922216,477.1481325570715,475.1467619772571,471.8342299438431,484.46340575011425,0.052295066124230585,-0.01781557835397199,-0.06203429585118507,,,,-0.18995202650009071,-0.02342418909788948,0.21256758017620092,7257.0,Both
LVA,35.06562854059296,483.85695766036736,483.15945520181765,474.56865073478394,493.8427670445006,-0.009482523427919614,-0.10069106060104802,-0.25970308460811103,,-0.10222097184256909,-0.15130731908463724,-0.2156108773498465,-0.24537477751935416,-0.02786960366224886,5373.0,Both
