country,mean_math,sigma2_b,sigma2_w,sigma2_tot,icc,sd_total,sd_between,n_schools,n_students
NLD,519.2309826765586,5188.618599986868,3513.721382502465,8702.339982489333,0.596232577723612,93.28633331034794,72.03206647033575,156,4765
TUR,453.50777794614606,4480.499247808485,3291.7874632916623,7772.286711100147,0.5764711743597377,88.1605734503817,66.93653148922854,186,6890
HUN,481.082636356244,4764.67097060368,3542.960105229294,8307.631075832975,0.5735294366241395,91.14620713904104,69.02659611051149,238,5132
SVN,508.89754408489455,3885.6122821222407,3786.3260840510143,7671.938366173255,0.5064707374676649,87.58960192952846,62.334679610327996,345,6401
LBN,393.4500542104518,5592.8601575750745,5563.195678048449,11156.055835623523,0.5013295236221345,105.62223172998914,74.78542744128079,313,5614
FRA,495.40758144403196,4245.148383975982,4323.901222664797,8569.04960664078,0.4954048090334438,92.56916120739552,65.15480323027599,252,6308
ITA,486.5898580129098,4323.911527591095,4469.31061191017,8793.222139501266,0.49173232052981425,93.77218211975908,65.75645616660843,542,11785
AUT,498.94231379959274,4284.5862201549335,4456.129433932435,8740.71565408737,0.4901871185057207,93.49179458159614,65.45675076074991,291,6802
BEL,508.0703063564708,4401.739701096128,4692.024896108804,9093.764597204932,0.4840393276123565,95.36123215020311,66.34560800155597,288,8475
ARE,434.9472518653212,5266.978025803035,5762.486301134597,11029.464326937632,0.47753706523528233,105.02125654807998,72.57394867170336,755,19277
BRA,383.5691241061803,3642.843707829553,4020.076147304216,7662.919855133769,0.4753858550913895,87.53810516074567,60.35597491408413,597,10691
DEU,500.0437801667657,4323.337626027276,4776.512890484552,9099.85051651183,0.4750998511659624,95.39313663210697,65.75209217984836,223,5451
CZE,499.46765090624666,3996.2749436583495,4683.94585399977,8680.22079765812,0.46038862798703517,93.1677025457756,63.216097187807705,333,7019
PAN,352.84625573702897,2739.765087408293,3258.621189278018,5998.386276686311,0.45675035935195246,77.44924968446313,52.34276537792298,253,6270
SVK,486.1648542935621,4509.051830007107,5406.010836967694,9915.062666974802,0.45476785991740687,99.57440769080578,67.14947378801347,376,5965
BGR,436.04057099732006,4286.650240350037,5206.392967587152,9493.04320793719,0.4515570135366016,97.43224932196316,65.47251515216165,197,5294
ISR,463.0345489204551,5309.965458064134,6461.327422276421,11771.292880340556,0.45109449845839794,108.49558922067088,72.86950979706212,174,6623
IDN,378.6681322990295,2821.5950419970422,3465.1524946909767,6286.747536688019,0.4488163435116266,79.28901271101829,53.118688255613414,397,12098
ROU,429.9168270744655,3915.3992201826127,4928.474588792845,8843.873808975457,0.44272445590629733,94.0418726364775,62.57315095296554,170,5075
JPN,526.9732504969817,3252.099770532489,4224.7884565234,7476.888227055889,0.4349536427152183,86.46900153844665,57.02718448715918,183,6109
QCI,591.3935968785125,2796.712488926451,3656.068420467037,6452.780909393488,0.4334119704661289,80.32920334096117,52.883953038010034,361,12058
ARG,379.45381660292884,3020.7023402056366,4043.7982866971397,7064.500626902776,0.42758894078122195,84.0505837392149,54.96091647894562,455,11975
QAT,414.2287176742683,4071.1811837688538,5539.1218787573125,9610.303062526167,0.42362672199628865,98.03215320763982,63.805808385826865,188,13828
PER,399.83767481282183,2922.9073296314996,4204.247257449398,7127.154587080897,0.41010859157309915,84.42247678835831,54.063918925948194,340,6086
