country,n_students,mean,sd,p10,p25,p50,p75,p90,p90_p10_range,pct_below_level1b,pct_level5_plus
QCI,12058,555.2362435875075,87.22662494145631,440.5870651688266,497.51732125272883,558.6210149889569,616.7893280924991,665.568343797767,224.98127862894046,5.115957619096269,21.628480747648965
SGP,6676,549.4647077944608,108.94581347274043,398.33503473467545,478.19088215733666,558.7933911347254,627.9096404777513,683.5430718596108,285.20803712493534,11.181941102345217,25.67821276970893
MAC,3775,525.1161689482251,92.10520582141518,402.7201893018997,464.3040645289175,529.5204852796169,590.1631169034446,641.2173510598105,238.49716175791082,10.70027486733568,13.663822455886992
HKG,6037,524.2831171519503,99.47796700605856,389.7769926356542,462.4822291138341,533.2261832270871,594.6998545102457,644.6347599927601,254.8577673571059,12.523345004740733,14.71031904878249
EST,5316,523.0170184252647,93.21081080532507,401.73207179405625,460.08584657731535,523.6965846967353,587.2416028471931,643.2700008637105,241.53792906965424,10.956532594732849,13.791741907861743
CAN,22653,520.0855209265208,100.2970513430607,387.5769809495257,452.43690502718647,524.0678881021886,591.9508497852898,646.3716161266414,258.79463517711565,13.657046582385396,14.89100063254027
FIN,5649,520.078748316689,99.55278893898326,386.6754287198638,455.0410460711698,526.8834066792016,591.167439981888,642.9265753350808,256.25114661521695,13.483432603922878,14.133395355199982
IRL,5577,518.0784591193935,90.70381691110946,398.0772433581263,455.97501477300955,519.935499526938,582.6187991474096,634.5073928324788,236.4301494743525,11.698501015587642,11.982658494090344
KOR,6650,514.0522879582692,102.00253935775746,377.1401185131882,448.8150140448258,521.990587697552,585.3970645874203,639.5078143816829,262.3676958684947,15.03642040130867,13.024796546218242
POL,5625,511.85569535773163,97.33550150100963,384.1747634377619,445.65780802341806,514.5171083074134,581.3417755747851,635.9306108716049,251.75584743384303,14.571130705957364,12.084488650324428
SWE,5504,505.7852205981653,107.53456946180464,359.9975165298104,434.13747660987275,511.4961509467868,583.454722916668,640.4417977415602,280.4442812117498,18.283935467056594,13.180626713630511
NZL,6173,505.72728344383086,106.29895807861337,361.70011907051213,431.5567677002247,510.94463842841407,584.2460284853385,640.0172384296504,278.3171193591383,18.81500450189491,12.999458210335415
USA,4838,505.3527710500683,107.8945221026916,360.5155071749694,429.77327140419646,509.7009374267076,583.5127491734909,642.4730026246891,281.9574954497197,19.149258926054983,13.469058161343197
