CNT,n_low_ses,n_ob,pct_ob,r_escs_perf
ALB,90,36,40.0,0.35100284855902847
ARE,279,53,18.996415770609318,0.5100840516961858
ARG,151,8,5.298013245033113,0.8251760725404342
AUS,247,38,15.384615384615385,0.7305506112566508
AUT,101,7,6.9306930693069315,0.8084563134737818
BEL,95,4,4.2105263157894735,0.8482428672052887
BGR,67,5,7.462686567164178,0.8018025806475481
BRA,199,36,18.090452261306535,0.7451868843214646
BRN,18,1,5.555555555555555,0.7702690934238215
CAN,281,68,24.199288256227756,0.5447257261195779
CHE,87,17,19.54022988505747,0.7832293904957611
CHL,77,7,9.090909090909092,0.7896960975427505
COL,87,16,18.39080459770115,0.7586356091924438
CZE,143,12,8.391608391608392,0.8615108319322876
DEU,84,3,3.571428571428571,0.8297842915155174
DNK,115,14,12.173913043478262,0.7283813482057941
DOM,84,13,15.476190476190476,0.7542235910680135
ESP,322,60,18.633540372670808,0.7017514705473509
EST,65,12,18.461538461538463,0.6630538248588507
FIN,80,15,18.75,0.6311956325875749
FRA,94,4,4.25531914893617,0.7919030479523399
GBR,148,19,12.837837837837837,0.7308898679473905
GEO,88,29,32.95454545454545,0.4576647799524666
GRC,77,7,9.090909090909092,0.7069994024483428
GTM,97,21,21.649484536082475,0.7370297606673398
HKG,54,8,14.814814814814813,0.6338934927265653
HRV,60,7,11.666666666666666,0.795733156788724
HUN,87,5,5.747126436781609,0.8023351727872654
IDN,136,27,19.852941176470587,0.646379121749373
IRL,57,6,10.526315789473683,0.7589204073865159
ISL,45,17,37.77777777777778,0.4153044526213316
ISR,64,4,6.25,0.7870763156358915
ITA,115,7,6.086956521739131,0.7573744923256789
JAM,49,8,16.3265306122449,0.7127154466025296
JOR,87,34,39.08045977011494,0.39746988525498184
JPN,61,1,1.639344262295082,0.7763584283878768
KAZ,190,66,34.73684210526316,0.5493911606619507
KHM,61,21,34.42622950819672,0.5597070462083266
KOR,62,7,11.29032258064516,0.7727688698276134
KSV,76,20,26.31578947368421,0.4348228606125368
LTU,97,13,13.402061855670103,0.7202340846843192
LVA,75,11,14.666666666666666,0.7208163139236656
MAC,15,5,33.33333333333333,0.48936626504013275
MAR,59,18,30.508474576271187,0.5106437367484791
MDA,88,18,20.454545454545457,0.7614656940301548
MEX,93,15,16.129032258064516,0.7129029937616478
MKD,37,4,10.81081081081081,0.7933568261669097
MLT,15,4,26.666666666666668,0.6940166922683331
MNE,21,3,14.285714285714285,0.6256130394811334
MNG,65,6,9.230769230769232,0.819015412181709
MYS,66,14,21.21212121212121,0.7683624759797367
NLD,51,3,5.88235294117647,0.7806650287868794
NOR,88,21,23.863636363636363,0.644899516775558
NZL,56,6,10.714285714285714,0.8096684931868522
PAN,71,15,21.12676056338028,0.748257160431927
PER,112,7,6.25,0.8054114490277595
PHL,63,17,26.984126984126984,0.7948997653369116
POL,80,6,7.5,0.8347566835560525
PRT,75,14,18.666666666666668,0.7466539585980638
PRY,94,23,24.46808510638298,0.6500748494225401
PSE,90,26,28.888888888888886,0.4569540026891419
QAT,76,11,14.473684210526317,0.6716528306300191
QAZ,66,20,30.303030303030305,0.6343983694989963
QUR,54,4,7.4074074074074066,0.7617899143672021
ROU,87,5,5.747126436781609,0.8756907182138287
SAU,64,14,21.875,0.6269002851112693
SGP,55,7,12.727272727272727,0.797563117810542
SLV,96,24,25.0,0.713856686923223
SRB,61,9,14.754098360655737,0.778887093870207
SVK,96,13,13.541666666666666,0.7669470539628548
SVN,115,14,12.173913043478262,0.7299034495492646
SWE,87,13,14.942528735632186,0.7403413271550852
TAP,61,8,13.114754098360656,0.8025809581668135
THA,93,17,18.27956989247312,0.7321087482852762
TUR,65,14,21.53846153846154,0.6734584912557476
URY,74,4,5.405405405405405,0.8279654230643143
USA,50,3,6.0,0.7346942827592223
UZB,67,23,34.32835820895522,0.4524052139470952
VNM,59,8,13.559322033898304,0.7061213859651815
