CNT,academic,share_omit,share_fast_right,share_slow_right,share_fast_wrong,share_slow_wrong,speed_style,n_students,oecd,name
ALB,419.8588264661943,4.361054859137268,16.585851378821733,26.186279969866384,22.564977507729132,30.30183628444548,39.998403986170416,6352.0,False,Albania
ARE,433.4552746546365,4.0260007598307235,22.53024756283436,22.926621123898943,28.806644138865305,21.710486414570664,51.3258384747644,19277.0,False,UAE
AUS,498.98543751591194,4.44735564217481,32.199099564968186,25.199346814396286,22.45712706866406,15.697070909796656,56.15279870266887,14273.0,True,Australia
AUT,491.03844061433284,4.482917075082984,27.02360837748475,29.34445057251042,20.301185100997607,18.847838873924225,48.42337508071861,6802.0,True,Austria
BEL,499.9026240665107,6.795566305293249,24.15900976401833,32.08726169538051,16.971258785876053,19.98690344943185,42.8898303420654,8475.0,True,Belgium
BGR,426.65271994559566,6.818293250992919,19.62892751243312,24.47795509315697,26.936432629421937,22.138391513995067,46.725765901610885,5294.0,False,Bulgaria
BIH,402.6199639581448,8.303865885598388,18.01338762985482,21.920925030682184,26.49891505471934,25.26290639914527,46.191265846004725,6480.0,False,Bosnia
BLR,472.30575733467157,5.522130171100879,20.158030886804966,31.74508520855937,17.29825097664856,25.276502756886227,38.182555437733335,5803.0,False,Belarus
BRA,400.02112761022346,13.330247038485188,14.277593239838618,23.36705189224173,21.80297316186153,27.222134667572924,37.523404757401515,10691.0,False,Brazil
BRN,423.0546167151479,5.3063535839442055,20.961682222903754,22.84710398007566,25.365271970823787,25.5195882422526,47.66213768132779,6826.0,False,Brunei
CAN,516.7139937526046,4.292376479926281,32.73891461942725,28.215935903584068,18.88845293972155,15.864320057340855,53.423970972486316,22640.0,True,Canada
CHE,498.17346874668664,6.034779948993265,25.112304420407032,30.471021630375756,19.432857312557417,18.949036687666517,45.61275387242963,5822.0,True,Switzerland
CHL,437.7894500301264,10.226288906439922,20.570197501479246,26.555058327529718,20.047614512370128,22.600840752180986,43.08625469161896,7610.0,True,Chile
COL,405.567519735068,11.251913213801934,14.135096084131469,26.416658686626903,19.162843867200433,29.03348814823928,33.88948471541082,7514.0,True,Colombia
CRI,414.85033613708384,10.284022651720418,15.571119280296578,27.437373563675187,18.63272616685078,28.07475833745705,35.36886978139119,7217.0,True,Costa Rica
CZE,495.49259219628345,4.107239297834299,26.41198413604493,31.44727186787811,18.859825273401366,19.17367942484129,45.91850792050559,7019.0,True,Czech Rep.
