variable_name,label,questionnaire,source_file,category,type
CNTRYID,Country Identifier,Student questionnaire,SPSS_STU_QQQ.zip,Identifiers,NUM
CNT,Country code 3-character,Student questionnaire,SPSS_STU_QQQ.zip,Identifiers,CHAR
CNTSCHID,Intl. School ID,Student questionnaire,SPSS_STU_QQQ.zip,Identifiers,NUM
CNTSTUID,Intl. Student ID,Student questionnaire,SPSS_STU_QQQ.zip,Identifiers,NUM
CYC,PISA Assessment Cycle (2 digits + 2 character Assessment type - MS/FT),Student questionnaire,SPSS_STU_QQQ.zip,Identifiers,CHAR
NatCen,National Centre 6-digit Code,Student questionnaire,SPSS_STU_QQQ.zip,Identifiers,CHAR
STRATUM,Stratum ID 7-character (cnt + region ID + original stratum ID),Student questionnaire,SPSS_STU_QQQ.zip,Test administration,CHAR
SUBNATIO,Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID),Student questionnaire,SPSS_STU_QQQ.zip,Identifiers,CHAR
OECD,OECD country,Student questionnaire,SPSS_STU_QQQ.zip,Identifiers,NUM
ADMINMODE,Mode of Respondent,Student questionnaire,SPSS_STU_QQQ.zip,Test administration,NUM
LANGTEST_QQQ,Language of Questionnaire,Student questionnaire,SPSS_STU_QQQ.zip,Test administration,NUM
LANGTEST_COG,Language of Assessment,Student questionnaire,SPSS_STU_QQQ.zip,Test administration,NUM
LANGTEST_PAQ,Language of Assessment (PAQ),Student questionnaire,SPSS_STU_QQQ.zip,Test administration,NUM
BOOKID,Form Identifier,Student questionnaire,SPSS_STU_QQQ.zip,Test administration,NUM
ST001D01T,Student International Grade (Derived),Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST003D02T,Student (Standardized) Birth - Month,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST003D03T,Student (Standardized) Birth -Year,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST004D01T,Student (Standardized) Gender,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST005Q01TA,What is the <highest level of schooling> completed by your mother?,Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
ST006Q01TA,Does your mother have this qualification? <ISCED level 6> (incl. higher qualifications at level 5A in some countries),Student questionnaire,SPSS_STU_QQQ.zip,Student background items,NUM
